supplier,activity_code,frequency
ADVISOR CONTROLS INC,BS310,4
AGATHA GLOBAL TECH LLC,BS140,4
AGENCY BLOC INC,BS310,7
AGENT LINK,BS320,3
AGENT PRODUCTION LIBRARY INC,SC240,21
AIRBRIDGE BROADBAND LLC,IN330,3
ALLIANCE BUSINESS SOLUTION,SC800,17
AMAZON WEB SERVICES INC,WP100,4
ANNA ANGLES,SC800,4
APIS PRODUCTIONS,WP240,8
APPLIED CAPITAL LLC,WP230,4
APPRIVER LLC,DL320,8
AT & T,IN360,23
AUXO SOLUTIONS LLC,IN100,4
AVAYA CLOUD INC,IN360,6
AVAYA INC,IN360,10
AVAYA LLC,IN360,6
Armstrong (Internet),IN330,7
BCN TELECOM INC,IN360,5
BOBERDOO.COM LLC,IN360,4
BROADSMART GLOBAL INC,IN360,3
CANON FINANCIAL SERVICES INC,WP230,7
CENTERSQUARE MSA HOLDINGS LLC,IN360,4
CERTIFIED LANGUAGES INTERNATIONAL LLC,IN360,4
CIRCLE,BS320,9
CLOUDTECH AGENCY LLC,WP100,9
COGENT COMMUNICATIONS INC,IN330,3
COMMERCIAL ACCESS SYSTEMS,SC500,4
COMMISSION TRACKER,BS320,4
COMPLIANSENSE CONSULTING LLC,SC600,3
COMPUTER SERVICES INC,DL320,4
CONCORD TECHNOLOGIES INC.,IN360,4
CONDADO GROUP INC.,IN360,4
CONNECTURE INC.,IN360,15
CONTACT CENTER COMPLIANCE CORP,IN360,4
CROSSCOUNTRY CONSULTING LLC,SC800,7
CROWN CASTLE INTERNATIONAL CORP.,IN330,6
Charter Communications- TX,IN330,3
Charter Communicatons,IN330,3
Convoso Inc,IN360,14
DATA-TECH,WP210,4
DATAWATCH SYSTEMS INC,SC500,4
DE LAGE LANDEN FINANCIAL SERVICES INC,WP230,20
DEVONSHIRE DEV SHOP LLC,WP240,5
DEX IMAGING LLC,WP230,10
DL PRINCE LLC,SC800,8
DOCUPACE TECHNOLOGIES LLC,PL220,17
DOCUSIGN INC.,WP210,3
DYNALINK COMMUNICATIONS INC,IN330,6
EFAX CORPORATE,IN360,4
